Date,Match,price,change,abs_price,Number
2014-01-28,0,18.17,-0.06832462154469299,6.832462154469299,80
2014-04-24,0,20.293215,0.06866656281863359,6.866656281863359,81
2014-07-23,0,23.855,0.015754693815001275,1.5754693815001275,82
2014-10-21,0,25.754999,0.05477624654448654,5.477624654448654,83
2015-01-28,0,29.407499,0.04005301503094616,4.005301503094616,84
2015-04-28,0,33.615002,0.03208480196499841,3.208480196499841,85
2015-07-22,0,30.497499,-0.07632324819727421,7.632324819727421,86
2015-10-28,0,29.2325,0.014312977099236734,1.4312977099236734,87
2016-01-27,0,24.01,-0.034191511094468496,3.4191511094468496,88
2016-04-27,0,24.0,-0.08641035401598784,8.641035401598785,89
2016-07-27,0,26.067499,0.07119375677804629,7.119375677804629,90
2016-10-26,0,28.577499,-0.028389324266893445,2.8389324266893445,91
2017-02-01,0,31.7575,0.044396975890717005,4.4396975890717005,92
2017-05-03,0,36.397499,-0.006754018283531171,0.6754018283531171,93
2017-08-02,0,39.82,0.07093393588203956,7.093393588203956,94
2017-11-03,0,43.5,0.0426029120977891,4.26029120977891,95
2018-02-02,0,41.5,-0.008540835383901824,0.8540835383901824,96
2018-05-02,0,43.807499,0.06032917972477736,6.032917972477736,97
2018-08-01,0,49.782501,0.04854931180981925,4.854931180981925,98
2018-11-02,0,52.387501,-0.04253859088001466,4.253859088001466,99
2019-01-30,0,40.8125,0.04446574422352545,4.446574422352545,100
2019-05-01,0,52.470001,0.025756336444944017,2.5756336444944017,101
2019-07-31,0,54.105,0.03214425914323771,3.214425914323771,102
2019-10-31,0,61.810001,0.016235817871209424,1.6235817871209424,103
2020-01-29,0,81.112503,0.05016992846078927,5.016992846078927,104
2020-05-01,0,71.5625,-0.0051437526093036645,0.5143752609303665,105
2020-07-31,0,102.885002,0.08254420157255682,8.254420157255682,106
2020-10-30,0,111.059998,-0.0012589838469150294,0.12589838469150294,107
2021-01-28,0,139.520004,-0.025426095964624196,2.5426095964624196,108
2021-04-29,0,136.470001,0.01547735706136888,1.547735706136888,109
2021-07-28,0,144.809998,-0.02805562024110264,2.805562024110264,110
2021-10-29,0,147.220001,-0.010950654580423769,1.0950654580423769,111
2022-01-28,0,165.710007,0.03769807079093157,3.769807079093157,112
2022-04-29,0,161.839996,0.03365899447139964,3.365899447139964,113
2022-07-29,0,161.240005,0.02838198991436891,2.838198991436891,114
2022-10-28,0,148.199997,-0.007700093430193844,0.7700093430193844,115
2023-02-03,0,148.029999,0.01787805903284334,1.787805903284334,116
2023-05-05,0,170.979996,0.021080914083265068,2.1080914083265068,117
2023-08-04,0,185.520004,-0.036660078547511965,3.6660078547511965,118
2023-11-03,0,174.240005,0.0015520147062595413,0.15520147062595413,119
2024-02-02,0,179.860001,-0.024620353295673025,2.4620353295673025,120
2024-02-29,0,181.270004,-0.0074467555317649925,0.7446755531764992,121
2024-05-03,0,186.649994,0.10248074833170563,10.248074833170563,122
